"Id","Division","District","Upazila","Institution Bn"
"1002","রংপুর","কুড়িগ্রাম","নাগেশ্বরী","asdf"
"1001","ঢাকা","নরসিংদী","শিবপুর","মোহরপাড়া উচ্চ বিদ্যালয়"
"1000","ঢাকা","নরসিংদী","শিবপুর","এস কে বি দাখিল মাদ্রাসা"
"999","ঢাকা","নরসিংদী","শিবপুর","নোয়াদিয়া কে. এইচ বালক উচ্চ বিদ্যালয়"
"998","ঢাকা","নরসিংদী","শিবপুর","লাখপুর শিমুলিয়া উচ্চ বিদ্যালয়"
"997","ঢাকা","নরসিংদী","শিবপুর","বাঘাব ইউনিয়ন উচ্চ বিদ্যালয়"
"996","ঢাকা","নরসিংদী","শিবপুর","চৈতন্য বহুমুখী উচ্চ বিদ্যালয়"
"995","ঢাকা","নরসিংদী","শিবপুর","কাজী মফিজ উদ্দীন উচ্চ বিদ্যালয়"
"994","ঢাকা","নরসিংদী","শিবপুর","হাজী সমশের আলী উচ্চ বিদ্যালয়"
"993","ঢাকা","নরসিংদী","শিবপুর","হাজী নোয়াব আলী বালিকা উচ্চ বিদ্যালয়"
"992","ঢাকা","নরসিংদী","শিবপুর","লাখপুর শিমুলিয়া বালিকা উচ্চ বিদ্যালয়"
"991","ঢাকা","নরসিংদী","শিবপুর","তেলিয়া ঝাউয়াকান্দি উচ্চ বিদ্যালয়"
"990","ঢাকা","নরসিংদী","শিবপুর","দুলালপুর উচ্চ বিদ্যালয়"
"989","ঢাকা","নরসিংদী","শিবপুর","দক্ষিণ সাধারচর উচ্চ বিদ্যালয়"
"988","ঢাকা","নরসিংদী","শিবপুর","হরিহরদী উচ্চ বিদ্যালয় এন্ড কলেজ"
"987","ঢাকা","নরসিংদী","শিবপুর","শিবপুর পাইলট বালিকা উচ্চ বিদ্যালয়"
"986","ঢাকা","নরসিংদী","শিবপুর","শিবপুর পাইলট মডেল উচ্চ বিদ্যালয়"
"985","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","লোনতলা উচ্চ বিদ্যালয়"
"984","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","চাঁদপাড়া দ্বি-মুখী উচ্চ বিদ্যালয়"
"983","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","শহরগছি উচ্চ বিদ্যালয় এন্ড কলেজ"
"982","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","ডুমুরগাছা সিদ্দিকিয়া দাখিল মাদ্রাসা"
"981","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","বিরাট দ্বি-মুখী উচ্চ বিদ্যালয়"
"980","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","খলসি দাখিল মাদ্রাসা"
"979","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","বর্ধনকুঠী পাইলট উচ্চ বিদ্যালয়"
"978","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","বোয়ালিয়া উচ্চ বিদ্যালয়"
"977","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","দূর্গাপুর কালিতলা এস. এন দ্বি-মুখী উচ্চ বিদ্যালয়"
"976","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","মহিমাগঞ্জ উচ্চ বিদ্যালয়"
"975","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","রাখালবুরুজ মুন্সিরহাট কেরামতিয়া সিনিয়র আলিম মাদ্রাসা"
"974","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","সরদারহাট দ্বি-মুখী উচ্চ বিদ্যালয়"
"973","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","আফরোজা আনার দাখিল মাদ্রাসা"
"972","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","ঘুগা আব্দুল জলিল দ্বি-মুখী উচ্চ বিদ্যালয়"
"971","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","কামদিয়া দারুল উলুম সিদ্দিকীয়া আলিম মাদ্রাসা"
"970","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","পানিতলা হাট উচ্চ বিদ্যালয়"
"969","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","ফেরুসা গোবিন্দপুর উচ্চ বিদ্যালয়"
"968","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","পিয়ারাপুর আই,জি,এম স্কুল এন্ড কলেজ"
"967","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","কামদিয়া দ্বি-মুখী উচ্চ বিদ্যালয়"
"966","রংপুর","গাইবান্ধা","গোবিন্দগঞ্জ","গোবিন্দগঞ্জ সরকারি উচ্চ বিদ্যালয়"
"965","ঢাকা","নরসিংদী","মনোহরদী","নারায়ণপুর সরাফত উল্লাহ উচ্চ বিদ্যালয়"
"964","ঢাকা","নরসিংদী","মনোহরদী","চন্ডিপাড়া বালিকা উচ্চ বিদ্যালয়"
"963","ঢাকা","নরসিংদী","মনোহরদী","বেলাব সরকারি পাইলট মর্ডাণ মডেল হাই স্কুল"
"962","ঢাকা","নরসিংদী","মনোহরদী","পোড়াদিয়া বিএম সিনিয়র আলিম মাদ্রাসা"
"961","ঢাকা","নরসিংদী","মনোহরদী","এ. এন. এম উচ্চ বিদ্যালয়"
"960","ঢাকা","নরসিংদী","বেলাবো","পাটুলী উচ্চ বিদ্যালয়"
"959","ঢাকা","নরসিংদী","মনোহরদী","সর্বলক্ষণা আলিম মাদ্রসা"
"958","ঢাকা","নরসিংদী","মনোহরদী","বীরগাঁও ইসলামিয়া দাখিল মাদ্রাসা"
"957","ঢাকা","নরসিংদী","মনোহরদী","শাহাবুদ্দিন মেমোরিয়া একাডেমি"
"956","ঢাকা","নরসিংদী","মনোহরদী","ঠেকের কান্দা ডি. এস. কে উচ্চ বিদ্যালয়"
"955","ঢাকা","নরসিংদী","মনোহরদী","এইচ. কে বিপুল স্মৃতি উচ্চ বিদ্যালয়"
"954","ঢাকা","নরসিংদী","মনোহরদী","মনতলা সিনিয়র ফাজিল ডিগ্রী মাদ্রাসা"
"953","ঢাকা","নরসিংদী","মনোহরদী","জিকেপি ডুয়াইগাঁও রবিউল উলুম দাখিল মাদ্রাসা"
"952","ঢাকা","নরসিংদী","মনোহরদী","খিদিরপুর কলেজ"
"951","ঢাকা","নরসিংদী","মনোহরদী","অ্যাডভোকেট এম. এ মজিদ বিএম কলেজ"
"950","ঢাকা","নরসিংদী","মনোহরদী","গোতাশিয়া নূরুল মজিদ হুমায়ূন উচ্চ বিদ্যালয়"
"949","ঢাকা","শরীয়তপুর","জাজিরা","জয়নগর নুরিয়া ইসলামিয়া দাখিল মাদ্রাসা"
"948","ঢাকা","শরীয়তপুর","জাজিরা","বি. কে. নগর পাবলিক উচ্চ বিদ্যালয়"
"947","ঢাকা","শরীয়তপুর","জাজিরা","পূর্ব নাওডোবা পাবলিক উচ্চ বিদ্যালয়"
"946","ঢাকা","শরীয়তপুর","জাজিরা","জাজিরা গার্লস হাই স্কুল এন্ড কলেজ"
"945","ঢাকা","শরীয়তপুর","জাজিরা","মানিকনগর শেখ হাসিনা উচ্চ বিদ্যালয়"
"944","ঢাকা","শরীয়তপুর","শরীয়তপুর সদর","বিনোদপুর মৌলভী কান্দি দাখিল মাদ্রাসা"
"943","ঢাকা","শরীয়তপুর","শরীয়তপুর সদর","তুলাতলা উচ্চ বিদ্যালয়"
"942","ঢাকা","শরীয়তপুর","শরীয়তপুর সদর","মাহমুদপুর মর্ডান উচ্চ বিদ্যালয়"
"941","ঢাকা","শরীয়তপুর","শরীয়তপুর সদর","চন্দ্রপুর এ, এইচ, পি উচ্চ বিদ্যালয়"
"940","ঢাকা","শরীয়তপুর","শরীয়তপুর সদর","চিতলীয়া সমিতির হাট উচ্চ বিদ্যালয়"
"939","ঢাকা","শরীয়তপুর","শরীয়তপুর সদর","বুড়িরহাট উচ্চ বিদ্যালয়"
"938","ঢাকা","শরীয়তপুর","শরীয়তপুর সদর","পালং উচ্চ বিদ্যালয়"
"937","ঢাকা","শরীয়তপুর","শরীয়তপুর সদর","চিকন্দী শরফ আলী উচ্চ বিদ্যালয়"
"936","ঢাকা","শরীয়তপুর","শরীয়তপুর সদর"," শরীয়তপুর সরকারি কলেজ"
"935","ঢাকা","শরীয়তপুর","শরীয়তপুর সদর","শরীয়তপুর সরকারি বালিকা উচ্চ বিদ্যালয়"
"934","খুলনা","বাগেরহাট","ফকিরহাট","কাজী আজাহার আলী ডিগ্রী কলেজ"
"933","খুলনা","বাগেরহাট","ফকিরহাট","কলকলিয়া মাধ্যমিক বিদ্যালয়"
"932","খুলনা","বাগেরহাট","ফকিরহাট","শেখ হেলাল উদ্দীন ডিগ্রী কলেজ"
"931","খুলনা","বাগেরহাট","ফকিরহাট","নলদা মাধ্যমিক বিদ্যালয়"
"930","খুলনা","বাগেরহাট","ফকিরহাট","মাসকাটা মাধ্যমিক বিদ্যালয়"
"929","খুলনা","বাগেরহাট","ফকিরহাট","বঙ্গবন্ধু মাধ্যমিক বালিকা বিদ্যালয় নওয়াপাড়া"
"928","খুলনা","বাগেরহাট","ফকিরহাট","বেতাগা ইউনাইটেড মাধ্যমিক বিদ্যালয়"
"927","খুলনা","বাগেরহাট","মোল্লাহাট","কামারগ্রাম মাধ্যমিক বিদ্যালয়"
"926","খুলনা","বাগেরহাট","মোল্লাহাট","চুনখোলা মাধ্যমিক বিদ্যালয়"
"925","খুলনা","বাগেরহাট","মোল্লাহাট","শহীদ হেমায়েত উদ্দিন বালিকা বিদ্যালয়"
"924","খুলনা","বাগেরহাট","মোল্লাহাট","নগর কান্দা মাধ্যমিক বিদ্যালয়"
"923","খুলনা","বাগেরহাট","মোল্লাহাট","চাঁদের হাট মাধ্যমিক বিদ্যালয়"
"922","খুলনা","বাগেরহাট","চিতলমারী","চরকচুরিয়া মাধ্যমিক বিদ্যালয়"
"921","খুলনা","বাগেরহাট","চিতলমারী","বড়বাড়িয়া মাধ্যমিক বিদ্যালয়"
"920","খুলনা","বাগেরহাট","চিতলমারী","পরানপুর শহীদ শেখ মাধ্যমিক বিদ্যালয়"
"919","খুলনা","বাগেরহাট","চিতলমারী","সম্মিলনী মাধ্যমিক বিদ্যালয়"
"918","খুলনা","বাগেরহাট","চিতলমারী","সন্তষপুর মাধ্যমিক বিদ্যালয়"
"917","খুলনা","বাগেরহাট","চিতলমারী","চিতলমারী দাখিল মাদ্রাসা"
"916","খুলনা","বাগেরহাট","চিতলমারী","শেরে বাংলা ডিগ্রী কলেজ"
"915","খুলনা","বাগেরহাট","চিতলমারী","কালশিরা মাধ্যমিক বিদ্যালয়"
"914","খুলনা","বাগেরহাট","চিতলমারী","জুনাবালী ফকির মাধ্যমিক বালিকা বিদ্যালয়"
"913","খুলনা","বাগেরহাট","চিতলমারী","চরবানিয়ারী ইউনিয়ন বালিকা মাধ্যমিক বিদ্যালয়"
"912","খুলনা","বাগেরহাট","বাগেরহাট সদর","চিরুলীয়া স্কুল এন্ড কলেজ"
"911","খুলনা","বাগেরহাট","চিতলমারী","চরবানিয়ারী মডেল উচ্চ বিদ্যালয়"
"910","ঢাকা","কিশোরগঞ্জ","নিকলী","নানশ্রী আদর্শ দাখিল মাদ্রাসা"
"909","ঢাকা","কিশোরগঞ্জ","নিকলী","সিংপুর হাজী আফিল উদ্দিন উচ্চ বিদ্যালয়"
"908","ঢাকা","কিশোরগঞ্জ","নিকলী","আলিয়াপাড়া এ বি নুরজাহান হোসেন উচ্চ বিদ্যালয়"
"907","ঢাকা","কিশোরগঞ্জ","নিকলী","ছাতিরচর উচ্চ বিদ্যালয়"
"906","ঢাকা","কিশোরগঞ্জ","নিকলী","রসুলপুর হানিফ ভূইয়া উচ্চ বিদ্যালয়"
"905","ঢাকা","কিশোরগঞ্জ","নিকলী","জারইতলা স্কুল এন্ড কলেজ"
